,event_date,year,event_type,sub_event_type,actor1,actor2,interaction,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp,population_1km,population_2km,population_5km,population_best,nrEvents,category
0,2024-02-06,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Centre,Cerca La Source,Thomassique,Thomassique,19.08,-71.8419,Alterpresse,"On 6 February 2024, in Thomassique, Centre, government opponents held a protest demanding the departure of Prime Minister (PM), Ariel Henry. This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1707826162,6706.0,12876.0,25307.0,6706.0,1,2024
1,2024-02-06,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Centre,Hinche,Thomonde,Thomonde,19.017,-71.9598,Alterpresse,"On 6 February 2024, in Thomonde, Centre, government opponents held a protest demanding the departure of Prime Minister (PM), Ariel Henry. This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1707826162,3896.0,7485.0,17717.0,3896.0,1,2024
2,2024-01-16,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Nippes,Anse-a-Veau,Petit Trou de Nippes,Petit Trou de Nippes,18.526,-73.5081,SG Alert (Whatsapp),"On 16 January 2024, in Petit Trou de Nippes, Nippes, an anti-government demonstration took place in the downtown where roads were blocked. Although there is no information on the circumstances of the incidents, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708383830,2488.0,2965.0,7249.0,2488.0,1,2024
3,2024-01-16,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud,Aquin,Cavaillon,Cavaillon,18.2981,-73.6546,SG Alert (Whatsapp),"On 16 January 2024, in Cavaillon, Sud, an anti-government demonstration took place on the Route Nationale #2 which was blocked. Although there is no information on the circumstances of the incidents, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1762829418,2972.0,5982.0,18338.0,2972.0,1,2024
4,2024-01-24,2024,Riots,Violent demonstration,Rioters (Haiti),,Rioters only,332,Caribbean,Haiti,Nippes,Miragoane,Petite-Riviere-de-Nippes,Petite Riviere de Nippes,18.4762,-73.24,SG Alert (Whatsapp),"On 24 January 2024, in Petite Riviere de Nippes, Nippes, barricades were set up. The report also indicates that people were throwing stones. There is no information on the circumstances of the barricades or who set them up.",0,1708383831,2006.0,5110.0,18627.0,5110.0,1,2024
5,2024-01-24,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Artibonite,Gonaives,Ennery,Ennery,19.4846,-72.485,SG Alert (Whatsapp),"Other: On 24 January 2024, in Ennery, Artibonite, trucks were used to set up roadblocks. There is no information on the circumstances of the roadblocks or who set them up.",0,1759789823,7675.0,10858.0,18628.0,,1,2024
6,2024-01-28,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Saint Raphael,Saint Raphael,Saint-Raphael,19.4393,-72.1994,SG Alert (Whatsapp),"Other: On 28 January 2024, in Saint-Raphael, Nord, the Route National #3 was blocked. There is no information on the circumstances of the roadblock or who set it up.",0,1708383831,10472.0,16426.0,29760.0,,1,2024
7,2024-01-29,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Saint Raphael,Saint Raphael,Saint-Raphael,19.4393,-72.1994,SG Alert (Whatsapp),"Other: On 29 January 2024, in Saint-Raphael, Nord, for the second consecutive day, the Route National #3 was blocked. There is no information on the circumstances of the roadblock or who set it up.",0,1708383831,10472.0,16426.0,29760.0,,1,2024
8,2024-01-15,2024,Riots,Violent demonstration,Rioters (Haiti),,Rioters only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,Haiti Press Network; Metropole; Rezo Nodwes,"On 15 January 2024, in Petit-Goave, Ouest, citizens held a demonstration demanding the departure of Prime Minister, Ariel Henry. Rioters set up barricades of burning tires. Demonstrators claimed to support Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708988311,18237.0,49361.0,67303.0,49361.0,1,2024
9,2024-01-16,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,SG Alert (Whatsapp),"On 16 January 2024, in Petit-Goave, Ouest, an anti-government demonstration took place on the Route Nationale #2 which was blocked. Although there is no information on the circumstances of the incidents, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708988311,18237.0,49361.0,67303.0,18237.0,1,2024
